timestamp,fan_speed,sensor_0_avg,sensor_1_avg,sensor_2_avg,sensor_3_avg
2026-05-09T16:36:46.969091,15,-0.294469,-0.049852,-0.030585,0.152523
2026-05-09T16:36:48.212338,20,-0.08888800000000001,-0.108659,-0.011482,0.015732
2026-05-09T16:36:49.767139,25,-0.108659,-0.169003,-0.049852,0.044443
2026-05-09T16:36:50.999275,30,-0.08888800000000001,-0.1286,-0.049852,0.044443
2026-05-09T16:36:52.241709,35,-0.069285,-0.1286,-0.069285,0.015732
2026-05-09T16:36:53.780548,40,-0.069285,-0.108659,-0.069285,-0.013691
2026-05-09T16:36:55.014250,45,-0.011482,-0.069285,-0.069285,0.044443
2026-05-09T16:36:56.252564,50,-0.1286,-0.08888800000000001,-0.069285,-0.106437
2026-05-09T16:36:57.847499,55,-0.011482,-0.069285,-0.011482,-0.013691
2026-05-09T16:36:59.082508,60,-0.030585,-0.069285,-0.049852,-0.043848
2026-05-09T16:37:00.312806,65,-0.049852,-0.08888800000000001,-0.049852,-0.013691
2026-05-09T16:37:01.844571,70,-0.148715,-0.148715,-0.030585,0.044443
2026-05-09T16:37:03.071621,75,-0.169003,-0.189466,-0.030585,0.015732
2026-05-09T16:37:04.297116,80,-0.251925,0.007459,-0.011482,-0.17218600000000003
2026-05-09T16:37:05.831439,85,-0.08888800000000001,-0.030585,-0.030585,-0.043848
2026-05-09T16:37:07.069759,90,-0.069285,0.026237,-0.011482,-0.2063
2026-05-09T16:37:08.305975,95,-0.069285,0.044856,0.007459,-0.2063
2026-05-09T16:37:09.806035,100,0.1356,0.063313,-0.069285,0.044443
2026-05-09T16:37:11.035702,105,-0.08888800000000001,0.007459,-0.049852,-0.013691
2026-05-09T16:37:12.264424,110,-0.148715,-0.011482,-0.011482,0.044443
2026-05-09T16:37:13.808664,115,-0.108659,0.20546699999999998,-0.049852,-0.313841
2026-05-09T16:37:15.050703,120,0.099765,0.188222,0.007459,0.015732
2026-05-09T16:37:16.284054,125,-0.169003,-0.1286,0.044856,-0.2063
2026-05-09T16:37:17.796092,130,-0.049852,0.007459,0.007459,0.07246
2026-05-09T16:37:19.058180,135,-0.08888800000000001,-0.08888800000000001,-0.049852,0.07246
2026-05-09T16:37:20.315464,140,-0.189466,-0.030585,-0.08888800000000001,0.07246
2026-05-09T16:37:21.796786,145,-0.08888800000000001,-0.108659,0.044856,-0.074759
2026-05-09T16:37:23.039300,150,-0.08888800000000001,-0.069285,-0.011482,-0.013691
2026-05-09T16:37:24.268905,155,-0.337756,-0.273107,0.044856,0.015732
2026-05-09T16:37:25.831940,160,-0.189466,0.026237,-0.011482,-0.013691
2026-05-09T16:37:27.139376,165,0.026237,-0.148715,-0.049852,-0.013691
2026-05-09T16:37:28.711472,170,-0.316018,-0.069285,-0.011482,0.015732
2026-05-09T16:37:29.964868,175,-0.316018,-0.23092499999999996,-0.030585,0.07246
2026-05-09T16:37:31.234273,180,-0.210105,-0.08888800000000001,-0.011482,0.273693
2026-05-09T16:37:32.783015,185,-0.472199,-0.069285,0.007459,0.152523
2026-05-09T16:37:34.018627,190,-0.169003,-0.108659,0.044856,0.044443
2026-05-09T16:37:35.286180,195,-0.08888800000000001,-0.1286,-0.030585,0.015732
2026-05-09T16:37:36.834176,200,-0.069285,0.1356,-0.049852,-0.043848
2026-05-09T16:37:38.067867,205,-0.251925,-0.1286,-0.030585,0.126488
2026-05-09T16:37:39.348387,210,-0.359682,-0.148715,-0.069285,0.20274899999999998
2026-05-09T16:37:40.851576,215,-0.148715,-0.08888800000000001,0.007459,-0.074759
2026-05-09T16:37:42.086895,220,0.007459,-0.148715,0.1356,0.07246
2026-05-09T16:37:43.348533,225,-0.1286,-0.011482,0.117759,-0.138907
2026-05-09T16:37:44.865142,230,-0.23092499999999996,-0.210105,0.117759,0.126488
2026-05-09T16:37:46.117694,235,0.044856,-0.210105,0.044856,-0.24126499999999998
2026-05-09T16:37:47.352784,240,-0.049852,0.063313,-0.011482,-0.106437
2026-05-09T16:37:48.857631,245,-0.542081,0.081616,0.044856,0.07246
2026-05-09T16:37:50.117239,250,-0.08888800000000001,-0.169003,0.007459,0.250612
2026-05-09T16:37:51.678916,255,-0.10212533333333333,-0.12286366666666666,0.07443433333333334,0.08956933333333333
