temperatures,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temperatures,fan_speeds,hot_plate_states,flow_rates,camera_status,system_ready,device_status,arduino_port,timestamp,cn2,cn2_optical,image_filename,session_id
"[25.5625, 24.0, 25.125, 24.375, 24.75, 24.125, 23.5, 24.0, 23.75, 24.25, 24.0, 25.25]",73.25,73.25,27.34,26.8,945.3212,945.9117,-273.0,25.5,49.2,46.4,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.507092, -0.030585, 0.170829, 0.099804]",,True,online,COM4,2026-05-19T23:58:12.710520,"[2.6702026863275034e-12, 8.648202887520371e-13, 4.272324298124005e-13, 9.609114319467079e-14]",,,session_2026-05-19T18-28-11-827Z
"[25.5625, 24.0, 25.125, 24.375, 24.75, 24.125, 23.5, 24.0, 24.0, 24.25, 24.0, 25.25]",73.5,73.5,27.32,26.81,945.3044,945.9169,-273.0,25.5,49.2,46.4,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.592931, -0.069285, 0.205467, 0.17794]",,True,online,COM4,2026-05-19T23:58:13.986234,"[2.6697517348492987e-12, 8.646742354244785e-13, 4.2716027757588776e-13, 0.0]",,,session_2026-05-19T18-28-11-827Z
"[25.625, 24.0, 25.125, 24.4375, 24.75, 24.125, 23.5, 24.0, 23.75, 24.25, 24.0, 25.25]",74.25,74.0,24.82,139.11,1300.291,945.9322,-273.0,25.5,49.2,46.4,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.477532, -0.169003, 0.338316, 0.099804]",,True,online,COM4,2026-05-19T23:58:15.469766,"[2.969459673858539e-12, 7.471628544246968e-13, 4.392691825234525e-13, 9.879839397351363e-14]",,,session_2026-05-19T18-28-11-827Z
"[25.625, 24.0, 25.125, 24.4375, 24.75, 24.1875, 23.5, 24.0, 24.0, 24.25, 24.0, 25.25]",74.5,74.25,24.82,139.11,1300.268,945.9152,-273.0,25.5,49.2,46.4,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.447486, -0.210105, 0.153289, 0.152523]",,True,online,COM4,2026-05-19T23:58:16.755690,"[2.969352942401796e-12, 7.47135999108028e-13, 5.314966065541677e-13, 0.0]",,,session_2026-05-19T18-28-11-827Z
"[25.625, 24.0, 25.1875, 24.4375, 24.75, 24.1875, 23.5, 24.0, 24.0, 24.25, 24.0, 25.25]",74.75,74.5,24.82,139.11,1300.268,945.9034,-273.0,25.5,49.2,46.4,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.354302, 0.063313, 0.289542, 0.202749]",,True,online,COM4,2026-05-19T23:58:18.054283,"[2.9692788593419753e-12, 8.891314020209254e-13, 5.31483346124821e-13, 0.0]",,,session_2026-05-19T18-28-11-827Z
"[25.6875, 24.0, 25.25, 24.4375, 24.75, 24.1875, 23.5, 24.0, 24.0, 24.25, 24.0, 25.25]",75.5,75.25,24.82,139.11,1300.268,945.9305,-273.0,-273.0,49.2,46.4,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.578911, 0.063313, 0.338316, 0.360733]",,True,online,COM4,2026-05-19T23:58:20.481686,"[3.2022608305573267e-12, 1.0435542854483602e-12, 5.315138004080063e-13, 0.0]",,,session_2026-05-19T18-28-11-827Z
"[25.6875, 24.0, 25.25, 24.5, 24.75, 24.1875, 23.5, 24.0, 24.0, 24.25, 24.0, 25.25]",75.75,75.25,27.37,26.81,945.3106,945.9306,-273.0,-273.0,49.2,46.4,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.492373, -0.251925, 0.322193, -0.106437]",,True,online,COM4,2026-05-19T23:58:21.773980,"[3.1140392714361342e-12, 8.646855777980894e-13, 5.168707158350785e-13, 0.0]",,,session_2026-05-19T18-28-11-827Z
