temperatures,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temperatures,fan_speeds,hot_plate_states,flow_rates,camera_status,system_ready,device_status,arduino_port,timestamp,cn2,cn2_optical,image_filename,session_id
"[24.1875, 23.8125, 24.0625, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.5, 24.5]",28.75,28.5,23.42,139.11,1300.961,945.9832,0.0,0.0,0.0,0.0,"[95.0, 95.0]","[15, 15, 15, 15]","[False, False]","[0.205467, -0.1286, 0.007459, 0.099804]",,True,online,COM4,2026-05-19T23:56:14.360910,"[1.6116152211634957e-13, 6.293004265864793e-15, 3.6261342476178654e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.0625, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.5, 24.5]",28.75,28.5,23.43,139.11,1300.961,945.9966,0.0,0.0,0.0,0.0,"[95.0, 95.0]","[20, 20, 20, 20]","[False, False]","[0.063313, -0.108659, -0.049852, 0.015732]",,True,online,COM4,2026-05-19T23:56:15.638315,"[1.611443523953011e-13, 6.292333825883942e-15, 3.625747928894275e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.0625, 24.0, 24.0, 23.8125, 23.25, 23.75, 23.5, 23.75, 23.5, 24.5]",28.75,28.5,26.75,26.76,945.38,946.0032,0.0,0.0,0.0,0.0,"[95.0, 95.0]","[25, 25, 25, 25]","[False, False]","[-0.030585, -0.030585, -0.088888, 0.07246]",,True,online,COM4,2026-05-19T23:56:16.925006,"[1.539254172275693e-13, 6.010450227311693e-15, 3.4633218876203093e-13, 9.616720363698708e-14]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.0625, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.5, 24.5]",28.75,28.5,23.58,139.11,1300.94,945.9936,-273.0,-273.0,0.0,46.9,"[95.0, 95.0]","[30, 30, 30, 30]","[False, False]","[-0.030585, -0.049852, -0.088888, 0.099804]",,True,online,COM4,2026-05-19T23:56:18.386405,"[1.6081773902647543e-13, 6.279580289578764e-15, 3.618399128095697e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.0625, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.5, 24.5]",28.75,28.5,24.95,-12.83,917.7045,946.0008,-273.0,-273.0,0.0,46.9,"[95.0, 95.0]","[35, 35, 35, 35]","[False, False]","[-0.011482, -0.030585, -0.108659, 0.044443]",,True,online,COM4,2026-05-19T23:56:19.669644,"[1.485802895171283e-13, 5.801734703645235e-15, 3.3430565141353866e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.125, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.5, 24.5]",28.75,28.5,24.96,-12.83,917.6942,945.9978,-273.0,-273.0,0.0,46.9,"[95.0, 95.0]","[40, 40, 40, 40]","[False, False]","[-0.049852, -0.049852, -0.108659, 0.015732]",,True,online,COM4,2026-05-19T23:56:20.962279,"[1.485570194542253e-13, 2.3203304234733527e-14, 3.342532937720069e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.0625, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.5, 24.5]",28.75,28.75,26.87,26.8,945.426,945.9498,-273.0,-273.0,0.0,46.9,"[95.0, 95.0]","[50, 50, 50, 50]","[False, False]","[-0.011482, -0.049852, -0.108659, -0.013691]",,True,online,COM4,2026-05-19T23:56:23.379517,"[1.538377785240258e-13, 6.007028127991633e-15, 3.4613500167905807e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.125, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.75, 24.5]",28.75,28.75,24.97,-12.83,917.6115,945.9615,-273.0,-273.0,0.0,46.9,"[95.0, 95.0]","[55, 55, 55, 55]","[False, False]","[-0.011482, -0.049852, -0.088888, 0.015732]",,True,online,COM4,2026-05-19T23:56:24.666680,"[1.4851031766774764e-13, 2.319600982505886e-14, 3.3414821475243217e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.125, 24.0, 24.0, 23.8125, 23.25, 23.5, 23.5, 23.75, 23.5, 24.5]",28.75,28.75,26.88,26.8,945.3864,945.9752,-273.0,-273.0,0.0,46.9,"[95.0, 95.0]","[60, 60, 60, 60]","[False, False]","[-0.011482, -0.049852, -0.108659, 0.015732]",,True,online,COM4,2026-05-19T23:56:25.939975,"[1.538248915324566e-13, 2.402609967684673e-14, 3.461060059480273e-13, 0.0]",,,session_2026-05-19T18-26-11-114Z
"[24.1875, 23.8125, 24.125, 24.0, 24.0, 23.8125, 23.25, 23.75, 23.5, 23.75, 23.5, 24.5]",29.0,28.75,24.98,-12.83,917.6942,945.9738,-273.0,-273.0,0.0,46.9,"[95.0, 95.0]","[65, 65, 65, 65]","[False, False]","[0.044856, -0.049852, -0.030585, 0.015732]",,True,online,COM4,2026-05-19T23:56:27.390563,"[1.4851715977657062e-13, 2.3197078502481243e-14, 3.341636094972839e-13, 9.278831400992497e-14]",,,session_2026-05-19T18-26-11-114Z
