temperatures,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temperatures,fan_speeds,hot_plate_states,flow_rates,camera_status,system_ready,device_status,arduino_port,timestamp,cn2,cn2_optical,image_filename,session_id
"[25.5625, 24.0625, 25.5, 24.5625, 25.0, 24.0625, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",56.25,53.25,24.76,-12.83,917.6115,945.8122,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.592931, -0.030585, 0.46257, 0.578678]",,True,online,COM4,2026-05-20T00:03:49.425052,"[2.3828721087725395e-12, 1.308458446468244e-12, 3.350913902961384e-13, 0.0]",,,session_2026-05-19T18-33-48-925Z
"[25.5625, 24.0625, 25.5, 24.5625, 25.0, 24.0625, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",56.0,53.0,27.24,26.6,945.2233,945.8362,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.477532, -0.6874, 0.492373, 0.360733]",,True,online,COM4,2026-05-20T00:03:50.706752,"[2.4669220936140988e-12, 1.3546111175186918e-12, 3.469109194144826e-13, 0.0]",,,session_2026-05-19T18-33-48-925Z
"[25.5625, 24.0625, 25.5, 24.5625, 25.0, 24.0625, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",56.0,53.0,27.22,26.59,945.2667,945.832,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.401474, -0.337756, 0.222567, -0.013691]",,True,online,COM4,2026-05-20T00:03:51.992894,"[2.4674778916156237e-12, 1.3549163116526732e-12, 3.4698907850844703e-13, 0.0]",,,session_2026-05-19T18-33-48-925Z
"[25.5, 24.0625, 25.5, 24.5, 25.0, 24.0625, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",55.75,52.75,24.76,139.11,1300.289,945.817,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.536168, 0.117759, 0.239522, 0.07246]",,True,online,COM4,2026-05-20T00:03:53.397198,"[2.325040158391578e-12, 1.5816628649584355e-12, 3.560080393756481e-13, 0.0]",,,session_2026-05-19T18-33-48-925Z
"[25.5625, 24.0625, 25.5, 24.5625, 25.0, 24.0625, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",55.75,52.75,27.23,26.59,945.2855,945.8455,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.564779, 0.007459, 0.354302, 0.682123]",,True,online,COM4,2026-05-20T00:03:54.671518,"[2.467576041789883e-12, 1.3549702068760297e-12, 3.470028808767023e-13, 0.0]",,,session_2026-05-19T18-33-48-925Z
