temperatures,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temperatures,fan_speeds,hot_plate_states,flow_rates,camera_status,system_ready,device_status,arduino_port,timestamp,cn2,cn2_optical,image_filename,session_id
"[26.5625, 24.625, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",81.5,77.25,27.65,27.15,945.4355,945.9672,-273.0,-273.0,48.0,45.5,"[95.0, 95.0]","[15, 15, 15, 15]","[False, False]","[0.256337, -0.169003, 0.289542, -0.043848]",,True,online,COM4,2026-05-19T23:32:19.994484,"[4.087584568848077e-12, 1.7279866084667056e-12, 6.124996648430001e-13, 9.566707866943698e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.5625, 24.5625, 26.25, 25.125, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",81.75,77.0,27.61,27.15,945.4285,945.9708,-273.0,-273.0,48.0,45.5,"[95.0, 95.0]","[20, 20, 20, 20]","[False, False]","[0.044856, -0.1286, -0.030585, 0.099804]",,True,online,COM4,2026-05-19T23:32:21.292312,"[4.355488675465211e-12, 1.9372296562589574e-12, 6.124905949872953e-13, 9.566566203747938e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.625, 24.5625, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",82.75,77.0,25.34,-12.83,917.6219,945.9598,-273.0,-273.0,48.0,45.5,"[95.0, 95.0]","[25, 25, 25, 25]","[False, False]","[-0.030585, -0.049852, -0.148715, 0.044443]",,True,online,COM4,2026-05-19T23:32:22.898356,"[4.470305014943039e-12, 1.6676552923652248e-12, 5.911147127197406e-13, 9.232693660153493e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.625, 24.5625, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",83.0,77.0,27.55,27.17,945.4359,945.9535,25.4,-273.0,48.0,45.5,"[95.0, 95.0]","[30, 30, 30, 30]","[False, False]","[-0.049852, -0.049852, -0.088888, -0.043848]",,True,online,COM4,2026-05-19T23:32:24.183768,"[4.630798865565613e-12, 1.7275278107925207e-12, 6.123370400747918e-13, 9.56416781061603e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.625, 24.5625, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",83.5,77.0,25.36,139.11,1300.291,945.9671,25.4,-273.0,48.0,45.5,"[95.0, 95.0]","[35, 35, 35, 35]","[False, False]","[0.007459, -0.069285, -0.1286, -0.013691]",,True,online,COM4,2026-05-19T23:32:25.473468,"[4.74947151659934e-12, 1.771798855809329e-12, 6.280292914511524e-13, 9.809267021781751e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.625, 24.5625, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",84.5,77.0,25.38,139.11,1300.268,945.9614,25.4,-273.0,48.0,45.5,"[95.0, 95.0]","[40, 40, 40, 40]","[False, False]","[-0.069285, -0.069285, -0.148715, -0.013691]",,True,online,COM4,2026-05-19T23:32:26.903073,"[4.748141661096038e-12, 1.771302750831984e-12, 6.278534427895588e-13, 9.806520419831053e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.625, 24.5625, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",85.25,77.0,27.53,27.22,945.4203,945.986,25.4,-273.0,48.0,45.5,"[95.0, 95.0]","[45, 45, 45, 45]","[False, False]","[-0.069285, -0.069285, -0.108659, 0.044443]",,True,online,COM4,2026-05-19T23:32:28.190004,"[4.627563522603858e-12, 1.7263208603059763e-12, 6.119092261294358e-13, 9.557485731797792e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.625, 24.5625, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",85.75,77.25,27.52,27.24,945.4153,945.9901,25.4,-273.0,48.0,45.5,"[95.0, 95.0]","[50, 50, 50, 50]","[False, False]","[-0.030585, -0.069285, -0.069285, 0.099804]",,True,online,COM4,2026-05-19T23:32:29.460844,"[4.626282296887139e-12, 1.7258428967576147e-12, 6.117398078528448e-13, 9.554839566824164e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.6875, 24.5, 26.25, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",87.5,77.5,27.52,27.26,945.4048,945.9849,25.4,-273.0,48.0,45.5,"[95.0, 95.0]","[60, 55, 55, 55]","[False, False]","[-0.049852, -0.069285, -0.108659, 0.015732]",,True,online,COM4,2026-05-19T23:32:31.908780,"[5.202535286125318e-12, 1.7253450211988963e-12, 6.115633315935067e-13, 9.55208316234683e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.6875, 24.5, 26.3125, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.25]",88.25,77.75,27.52,27.27,945.3945,945.95,25.4,-273.0,48.0,45.5,"[95.0, 95.0]","[60, 55, 60, 60]","[False, False]","[-0.030585, -0.049852, -0.088888, 0.015732]",,True,online,COM4,2026-05-19T23:32:33.202568,"[5.201729273627807e-12, 1.933997165823982e-12, 6.114685840019627e-13, 9.550603288019664e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.6875, 24.5, 26.3125, 25.1875, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",88.75,77.75,27.53,27.27,945.3789,945.9582,-273.0,25.8,48.0,45.4,"[95.0, 95.0]","[65, 65, 65, 65]","[False, False]","[0.007459, -0.030585, -0.049852, 0.126488]",,True,online,COM4,2026-05-19T23:32:34.485023,"[5.201557607075562e-12, 1.9339333403905454e-12, 6.114484044235763e-13, 9.550288100694053e-14]",,,session_2026-05-19T18-02-19-360Z
"[26.75, 24.5, 26.3125, 25.125, 25.75, 24.75, 24.0, 24.75, 24.5, 25.0, 24.5, 26.5]",90.0,78.25,24.76,-98.27,1300.291,945.9319,-273.0,25.8,48.0,45.4,"[95.0, 95.0]","[70, 70, 70, 70]","[False, False]","[0.026237, -0.069285, -0.069285, -0.043848]",,True,online,COM4,2026-05-19T23:32:35.910831,"[5.697512671392079e-12, 2.2309337134596178e-12, 6.330569634880089e-13, 9.887794851898582e-14]",,,session_2026-05-19T18-02-19-360Z
