timestamp,session_id,temp_sensor_1,temp_sensor_2,temp_sensor_3,temp_sensor_4,temp_sensor_5,temp_sensor_6,temp_sensor_7,temp_sensor_8,temp_sensor_9,temp_sensor_10,temp_sensor_11,temp_sensor_12,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temp_1,target_temp_2,fan_speed_1,fan_speed_2,fan_speed_3,fan_speed_4,hot_plate_1,hot_plate_2,flow_rate_1,flow_rate_2,flow_rate_3,flow_rate_4,cn2_row1_500,cn2_row1_300,cn2_row2_500,cn2_row2_300,centroid_x,centroid_y,cn2_optical,image_filename
2026-05-22T22:16:22.670564,session_2026-05-22T16-46-22-161Z,26.1875,24.875,25.75,25.25,25.0,24.3125,0.0,24.25,24.25,24.5,24.25,25.75,83.0,77.25,24.76,-12.83,917.6115,947.8005,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.432276,-0.273107,0.273008,0.17794,1.8243864582789757e-12,3.721837358843005e-13,0.0,0.0,186.08470034652643,218.18863296479824,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221622_670.png
2026-05-22T22:16:23.713962,session_2026-05-22T16-46-22-161Z,26.1875,24.75,25.75,25.3125,25.0,24.375,0.0,24.25,24.25,24.5,24.25,25.75,82.75,77.25,24.76,-12.83,917.6115,947.8171,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.521689,-0.169003,0.170829,0.226965,2.1884363637858913e-12,2.849531727864176e-13,0.0,0.0,194.74198327720822,221.1994350457409,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221623_714.png
2026-05-22T22:16:24.757982,session_2026-05-22T16-46-22-161Z,26.125,24.6875,25.75,25.25,25.25,24.375,0.0,24.25,24.25,24.5,24.25,25.75,82.5,77.25,27.11,26.6,947.2813,947.8194,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.492373,-0.069285,0.205467,-0.511753,2.27550458132601e-12,3.869912829608847e-13,0.0,0.0,189.76402611447904,211.61647633127288,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221624_758.png
2026-05-22T22:16:25.803023,session_2026-05-22T16-46-22-161Z,26.1875,24.75,25.75,25.375,25.25,24.375,0.0,24.25,24.25,24.5,24.25,25.75,82.5,77.25,27.11,26.61,947.2795,947.8081,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.647891,-0.049852,0.354302,0.339737,2.275192306443786e-12,2.176527233759452e-13,0.0,0.0,186.2159745978543,221.46043941203305,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221625_803.png
2026-05-22T22:16:26.855869,session_2026-05-22T16-46-22-161Z,26.1875,24.6875,25.75,25.25,25.0,24.375,0.0,24.25,24.25,24.5,24.25,25.75,82.25,77.25,27.12,26.61,947.3127,947.8233,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.606833,-0.189466,0.338316,0.709139,2.477509699408664e-12,3.8696529797836753e-13,0.0,0.0,186.57626396075761,221.36256780710463,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221626_855.png
2026-05-22T22:16:27.901289,session_2026-05-22T16-46-22-161Z,26.1875,24.75,25.75,25.25,25.25,24.375,0.0,24.25,24.25,24.5,24.25,25.75,82.25,77.25,27.12,26.61,947.3056,947.8066,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.521689,-0.359682,0.447486,-0.935423,2.2753176830348967e-12,3.8695949747908223e-13,0.0,0.0,195.17896490464287,215.49224433334268,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221627_901.png
2026-05-22T22:16:28.948224,session_2026-05-22T16-46-22-161Z,26.125,24.75,25.75,25.375,25.0,24.375,0.0,24.25,24.25,24.5,24.25,25.75,82.0,77.5,27.13,26.61,947.2881,947.8284,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.46257,0.063313,0.354302,0.381248,2.0816882250630414e-12,2.1765667537093247e-13,0.0,0.0,186.00154426592218,215.5613428045454,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221628_948.png
2026-05-22T22:16:29.992975,session_2026-05-22T16-46-22-161Z,26.125,24.75,25.75,25.3125,25.0,24.375,0.0,24.25,24.25,24.5,24.25,25.75,81.75,77.5,27.12,26.61,947.3091,947.8337,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.634316,-0.316018,0.338316,-0.106437,2.0817805220892164e-12,2.962680544821962e-13,0.0,0.0,190.63058272269964,223.43199756102533,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221629_993.png
2026-05-22T22:16:31.041460,session_2026-05-22T16-46-22-161Z,26.1875,24.75,25.75,25.25,25.0,24.375,0.0,24.25,24.25,24.5,24.25,25.75,81.75,77.5,24.77,-12.83,917.6219,947.7996,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.564779,-0.1286,0.401474,0.152523,2.1881921499527516e-12,3.7214220284350634e-13,0.0,0.0,189.85228414586942,223.09842803689352,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221631_041.png
2026-05-22T22:16:32.090555,session_2026-05-22T16-46-22-161Z,26.125,24.75,25.75,25.3125,25.0,24.4375,0.0,24.25,24.25,24.5,24.25,25.75,81.5,77.5,27.1,26.61,947.3036,947.7982,-273.0,-273.0,47.6,44.9,95.0,95.0,255,255,255,255,False,False,0.416938,-0.088888,0.188222,0.126488,2.0817563488607874e-12,2.9626461427546875e-13,0.0,0.0,190.20672856808127,224.04502313214883,,/home/turbulence-chamber/Documents/turbulence_chamber/camera_images/22_May_2026/22_16/camera_20260522_221632_090.png
