temperatures,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temperatures,fan_speeds,hot_plate_states,flow_rates,camera_status,system_ready,device_status,arduino_port,timestamp,cn2,cn2_optical,image_filename,session_id
"[25.5, 24.0, 25.4375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.75,51.75,27.28,26.58,945.2523,945.8052,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[15, 15, 15, 15]","[False, False]","[0.578911, -0.148715, 0.401474, 0.152523]",,True,online,COM4,2026-05-20T00:04:06.656543,"[2.467732013941915e-12, 1.355055852714507e-12, 2.7419244599354613e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.75,51.75,27.28,26.6,945.242,945.8261,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[20, 20, 20, 20]","[False, False]","[0.153289, -0.294469, 0.044856, 0.07246]",,True,online,COM4,2026-05-20T00:04:07.944616,"[2.4670197041987627e-12, 1.354664716448109e-12, 2.741133004665292e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,24.78,-12.83,917.7045,945.8232,-273.0,-273.0,48.6,46.0,"[95.0, 95.0]","[30, 25, 25, 25]","[False, False]","[-0.049852, -0.088888, -0.148715, 0.015732]",,True,online,COM4,2026-05-20T00:04:10.441043,"[2.3827152290378275e-12, 1.3083723022672151e-12, 2.647461365597586e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,27.32,26.62,945.2419,945.8254,24.8,-273.0,48.9,46.0,"[95.0, 95.0]","[30, 30, 30, 30]","[False, False]","[0.007459, -0.049852, -0.1286, -0.013691]",,True,online,COM4,2026-05-20T00:04:11.721153,"[2.4663608715598605e-12, 1.3543029449841655e-12, 2.740400968399845e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.4375, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,27.31,26.63,945.235,945.7974,24.8,-273.0,48.9,46.0,"[95.0, 95.0]","[35, 35, 35, 35]","[False, False]","[-0.088888, -0.088888, -0.148715, -0.074759]",,True,online,COM4,2026-05-20T00:04:13.012328,"[2.4659957960319696e-12, 1.5406677087927058e-12, 2.7399953289244105e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.4375, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,27.33,26.66,945.2626,945.8141,24.8,-273.0,48.9,46.0,"[95.0, 95.0]","[45, 45, 45, 45]","[False, False]","[-0.049852, -0.088888, -0.1286, -0.043848]",,True,online,COM4,2026-05-20T00:04:15.428241,"[2.465152874862886e-12, 1.5401410812013875e-12, 2.739058749847651e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,27.32,26.67,945.2628,945.8513,24.8,-273.0,48.9,46.0,"[95.0, 95.0]","[50, 50, 50, 50]","[False, False]","[-0.069285, -0.088888, -0.1286, -0.043848]",,True,online,COM4,2026-05-20T00:04:16.707628,"[2.464825049958022e-12, 1.3534596102790438e-12, 2.7386944999533576e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,24.84,139.11,1300.291,945.8145,24.8,-273.0,48.9,46.0,"[95.0, 95.0]","[55, 55, 55, 55]","[False, False]","[-0.049852, -0.088888, -0.1286, -0.106437]",,True,online,COM4,2026-05-20T00:04:17.988059,"[2.528881848670092e-12, 1.3886338267298375e-12, 2.8098687207445464e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.4375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,27.3,26.68,945.2678,945.8286,24.8,-273.0,48.9,46.0,"[95.0, 95.0]","[60, 60, 60, 60]","[False, False]","[-0.011482, -0.088888, -0.069285, 0.07246]",,True,online,COM4,2026-05-20T00:04:19.429825,"[2.4645223088753424e-12, 1.353293372181218e-12, 2.7383581209726026e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
"[25.5, 24.0, 25.375, 24.5, 25.0, 24.0, 23.5, 24.0, 24.0, 24.25, 24.0, 25.5]",54.5,51.5,27.29,26.69,945.2542,945.8309,24.8,-273.0,48.9,46.0,"[95.0, 95.0]","[65, 65, 65, 65]","[False, False]","[0.007459, -0.069285, -0.088888, 0.015732]",,True,online,COM4,2026-05-20T00:04:20.716072,"[2.464122640551493e-12, 1.178677717490576e-12, 2.7379140450572145e-13, 0.0]",,,session_2026-05-19T18-34-05-858Z
