timestamp,session_id,temp_sensor_1,temp_sensor_2,temp_sensor_3,temp_sensor_4,temp_sensor_5,temp_sensor_6,temp_sensor_7,temp_sensor_8,temp_sensor_9,temp_sensor_10,temp_sensor_11,temp_sensor_12,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temp_1,target_temp_2,fan_speed_1,fan_speed_2,fan_speed_3,fan_speed_4,hot_plate_1,hot_plate_2,flow_rate_1,flow_rate_2,flow_rate_3,flow_rate_4,cn2_row1_500,cn2_row1_300,cn2_row2_500,cn2_row2_300,cn2_optical,image_filename
2026-05-18T23:49:13.628735,session_2026-05-18T18-18-57-347Z,23.125,21.25,22.625,21.75,22.25,21.5,20.5,21.5,21.25,21.75,21.25,22.75,84.25,82.0,24.93,24.13,944.6833,945.2127,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.606833,-0.030585,0.305936,-1.042877,3.9797253116798e-12,1.218332488986278e-12,1.1320107553222543e-12,9.945571338663492e-14,,
2026-05-18T23:49:14.910874,session_2026-05-18T18-18-57-347Z,23.125,21.25,22.625,21.75,22.25,21.5,20.75,21.5,21.25,21.75,21.25,22.75,84.75,82.25,24.9,24.14,944.6643,945.2333,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.592931,-0.108659,0.239522,0.420877,3.979029809818082e-12,1.2181195716495474e-12,6.366447695708931e-13,9.943833237955488e-14,,
2026-05-18T23:49:16.193622,session_2026-05-18T18-18-57-347Z,23.1875,21.25,22.625,21.75,22.25,21.5,20.75,21.5,21.25,21.75,21.25,22.75,85.0,82.75,22.28,-12.83,917.7045,945.2126,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.492373,-0.316018,0.338316,0.594381,4.11160715743352e-12,1.1788090557747292e-12,6.16099303507208e-13,9.62293106754881e-14,,
2026-05-18T23:49:18.634256,session_2026-05-18T18-18-57-347Z,23.1875,21.25,22.6875,21.75,22.25,21.5,20.75,21.5,21.25,21.75,21.25,22.75,86.25,83.75,22.3,-12.83,917.6115,945.2072,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.401474,-0.169003,0.322193,-1.528393,4.109660885496819e-12,1.3525841184212781e-12,6.158076665052466e-13,9.618375953217979e-14,,
2026-05-18T23:49:19.920640,session_2026-05-18T18-18-57-347Z,23.25,21.25,22.6875,21.75,22.25,21.5,20.5,21.5,21.25,21.75,21.25,22.75,86.5,84.0,24.85,24.15,944.6814,945.2125,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.507092,-0.011482,0.256337,0.099804,4.526806490909445e-12,1.3982140370848434e-12,1.1317016227273613e-12,9.942855374825553e-14,,
2026-05-18T23:49:21.203229,session_2026-05-18T18-18-57-347Z,23.25,21.25,22.6875,21.75,22.25,21.5,20.75,21.5,21.25,21.75,21.25,22.75,87.0,84.5,24.81,24.16,944.6724,945.218,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.370158,0.026237,0.354302,0.296232,4.526111244470857e-12,1.3979992933506855e-12,6.364843937537143e-13,9.941328308271541e-14,,
2026-05-18T23:49:22.623425,session_2026-05-18T18-18-57-347Z,23.25,21.25,22.6875,21.8125,22.25,21.5625,20.5,21.5,21.25,21.75,21.25,23.0,87.5,85.0,22.31,-12.83,917.6115,945.2346,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.578911,-0.049852,0.432276,0.318243,4.3784839210148716e-12,1.1780915482463472e-12,1.2357244659895487e-12,9.617073863235488e-14,,
2026-05-18T23:49:23.906437,session_2026-05-18T18-18-57-347Z,23.3125,21.25,22.75,21.8125,22.25,21.5625,20.5,21.5,21.25,21.75,21.25,23.0,87.75,85.5,24.83,24.19,944.671,945.1911,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.550532,-0.148715,0.322193,0.339737,4.811456671008989e-12,1.3974310344397359e-12,1.2768695848683176e-12,9.9372873560159e-14,,
2026-05-18T23:49:25.191680,session_2026-05-18T18-18-57-347Z,23.3125,21.25,22.75,21.8125,22.25,21.5625,20.75,21.5,21.25,21.75,21.25,23.0,88.0,85.75,24.85,24.19,944.709,945.2031,-273.0,-273.0,0.0,36.7,100.0,100.0,255,255,255,255,False,False,0.507092,0.044856,0.370158,-0.074759,4.811843766687448e-12,1.3975434618294775e-12,7.467415946466288e-13,9.938086839676284e-14,,
2026-05-18T23:49:26.634218,session_2026-05-18T18-18-57-347Z,23.375,21.3125,22.75,21.8125,22.25,21.5625,20.75,21.5,21.25,21.75,21.25,23.0,88.75,86.25,24.83,24.21,944.6795,945.1794,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.46257,-0.1286,0.338316,0.07246,4.810248917904908e-12,1.3970802567470357e-12,7.464940928612759e-13,9.93479293686781e-14,,
2026-05-18T23:49:27.919945,session_2026-05-18T18-18-57-347Z,23.375,21.3125,22.8125,21.8125,22.25,21.5625,20.75,21.5,21.25,21.75,21.25,23.0,89.0,86.5,24.84,24.22,944.6608,945.2065,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.492373,-0.316018,0.170829,0.099804,4.8094115006848444e-12,1.589290141876659e-12,7.463641355516425e-13,9.933063386729118e-14,,
2026-05-18T23:49:29.203015,session_2026-05-18T18-18-57-347Z,23.375,21.3125,22.8125,21.8125,22.25,21.625,20.75,21.5,21.25,21.75,21.25,23.0,89.25,86.75,22.36,-98.27,1300.961,945.1928,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.447486,-0.251925,0.170829,0.273693,4.937201390736489e-12,1.631518845422126e-12,8.886055762941705e-13,1.0196992783888288e-13,,
2026-05-18T23:49:30.619643,session_2026-05-18T18-18-57-347Z,23.4375,21.3125,22.8125,21.875,22.5,21.625,20.5,21.5,21.25,21.75,21.25,23.0,89.75,87.25,24.89,24.23,944.6624,945.1803,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.536168,-0.108659,0.338316,-0.043848,5.10463796288478e-12,1.3966538935239191e-12,1.430711678178779e-12,9.931761020614536e-14,,
2026-05-18T23:49:31.905071,session_2026-05-18T18-18-57-347Z,23.4375,21.3125,22.8125,21.875,22.25,21.625,20.75,21.5,21.25,21.75,21.25,23.0,90.0,87.5,24.88,24.23,944.6522,945.2104,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.578911,-0.210105,0.370158,-0.277107,5.104527728739496e-12,1.3966237329230442e-12,8.654735595440667e-13,9.931546545230537e-14,,
2026-05-18T23:49:33.191161,session_2026-05-18T18-18-57-347Z,23.4375,21.3125,22.875,21.8125,22.25,21.625,20.75,21.5,21.25,21.75,21.25,23.0,90.25,87.75,22.37,-98.27,1300.939,945.158,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.674724,-0.251925,0.305936,0.250612,5.2398642045081645e-12,1.8414469299281464e-12,8.884198824252597e-13,1.0194861895795966e-13,,
2026-05-18T23:49:35.620253,session_2026-05-18T18-18-57-347Z,23.5,21.3125,22.875,21.875,22.5,21.625,20.75,21.5,21.25,21.75,21.25,23.0,91.0,88.25,22.37,139.11,1300.961,945.1766,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.492373,-0.148715,0.256337,-0.013691,5.552842810263678e-12,1.6312421046726005e-12,8.884548496421884e-13,1.0195263154203753e-13,,
2026-05-18T23:49:36.906203,session_2026-05-18T18-18-57-347Z,23.5,21.375,22.875,21.875,22.5,21.625,20.75,21.5,21.25,21.75,21.25,23.0,91.25,88.5,22.37,139.11,1300.938,945.1733,22.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.578911,-0.049852,0.354302,-0.043848,5.240033849310863e-12,1.631230714019154e-12,8.884486457309076e-13,1.0195191962619713e-13,,
2026-05-18T23:49:38.188917,session_2026-05-18T18-18-57-347Z,23.5,21.375,22.875,21.875,22.5,21.6875,20.75,21.5,21.25,21.75,21.25,23.0,91.5,88.75,-146.39,-12.83,917.7045,945.1866,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.592931,-0.088888,0.289542,0.015732,4.76787853566481e-12,1.4842480281137796e-12,9.280040402461782e-13,9.276550175711122e-14,,
2026-05-18T23:49:40.617159,session_2026-05-18T18-18-57-347Z,23.5625,21.375,22.9375,21.875,22.5,21.6875,20.75,21.5,21.25,21.75,21.25,23.0,92.0,89.25,24.93,24.24,944.6747,945.1959,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.416938,0.044856,0.239522,0.339737,5.408739870792284e-12,1.7937297670846864e-12,9.93442017084297e-13,9.93068383161072e-14,,
2026-05-18T23:49:41.899443,session_2026-05-18T18-18-57-347Z,23.5625,21.375,22.9375,21.9375,22.5,21.6875,20.75,21.5,21.25,21.75,21.25,23.0,92.25,89.25,24.94,24.24,944.7283,945.218,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,True,0.564779,-0.273107,0.38588,0.401293,5.4093536623580976e-12,1.5890897247790912e-12,9.935547543106709e-13,9.93181077986932e-14,,
2026-05-18T23:49:43.184719,session_2026-05-18T18-18-57-347Z,23.5625,21.375,22.9375,21.9375,22.5,21.6875,20.75,21.75,21.25,21.75,21.5,23.0,92.5,89.5,24.93,24.25,944.7021,945.1997,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.592931,0.044856,0.38588,0.296232,5.408326157460861e-12,1.5887878777237356e-12,9.933660289213825e-13,3.971969694309339e-13,,
2026-05-18T23:49:45.613836,session_2026-05-18T18-18-57-347Z,23.625,21.375,23.0,21.9375,22.5,21.6875,20.75,21.5,21.25,21.75,21.5,23.25,92.75,90.0,24.97,24.27,944.6729,945.2111,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,True,True,0.550532,-0.294469,0.256337,0.420877,5.71989582443326e-12,1.7929993278678965e-12,9.930374695196632e-13,9.926639877469322e-14,,
2026-05-18T23:49:46.897000,session_2026-05-18T18-18-57-347Z,23.625,21.4375,23.0,21.9375,22.5,21.6875,20.75,21.5,21.25,21.75,21.5,23.0,93.0,90.25,24.96,24.25,944.7023,945.2132,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.564779,-0.1286,0.354302,0.339737,5.4083284474215716e-12,1.7935933245186636e-12,9.93366449526411e-13,9.929928440241737e-14,,
2026-05-18T23:49:48.182174,session_2026-05-18T18-18-57-347Z,23.625,21.4375,23.0,21.9375,22.5,21.75,20.75,21.5,21.25,21.75,21.5,23.0,93.25,90.5,24.96,24.26,944.7058,945.2256,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.521689,-0.404107,0.222567,0.339737,5.4076411628461295e-12,1.7933653966036817e-12,1.1300866430111094e-12,9.928666555591317e-14,,
2026-05-18T23:49:50.611140,session_2026-05-18T18-18-57-347Z,23.6875,21.4375,23.0,22.0,22.5,21.75,20.75,21.75,21.25,21.75,21.5,23.25,93.75,91.0,22.39,-12.83,917.6942,945.1744,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.536168,0.044856,0.401474,0.226965,5.536518818571221e-12,1.537343481034014e-12,1.093633346878266e-12,3.843358702585035e-13,,
2026-05-18T23:49:51.896947,session_2026-05-18T18-18-57-347Z,23.6875,21.4375,23.0,22.0,22.5,21.75,20.75,21.75,21.25,22.0,21.5,23.25,93.75,91.0,24.96,24.26,944.6936,945.1838,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,True,True,0.507092,-0.011482,0.370158,0.07246,5.720915866727084e-12,1.5885456189105159e-12,1.1300574551559673e-12,3.9713640472762897e-13,,
2026-05-18T23:49:53.179881,session_2026-05-18T18-18-57-347Z,23.6875,21.4375,23.0625,22.0,22.5,21.75,20.75,21.75,21.25,22.0,21.5,23.25,94.0,91.25,22.39,-12.83,917.6942,945.1744,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,False,False,0.521689,-0.108659,0.370158,0.015732,5.536518818571221e-12,1.735516664136055e-12,1.093633346878266e-12,3.843358702585035e-13,,
2026-05-18T23:49:55.608068,session_2026-05-18T18-18-57-347Z,23.6875,21.4375,23.0625,22.0,22.75,21.75,20.75,21.75,21.25,22.0,21.5,23.25,94.25,91.5,22.43,-12.83,917.6115,945.1981,-273.0,-273.0,40.1,36.7,100.0,100.0,255,255,255,255,True,True,0.447486,-0.049852,0.256337,0.226965,5.5325251757673915e-12,1.7342647883881743e-12,1.0928444791639292e-12,3.8405863825897285e-13,,
